,source_id,ra,dec,pseudocolour,rp,bp,dist,gmag,pmra,pmdec,radial_velocity,x,y,z
3700,3387172361094938752,79.01719181983117,11.341328332397213,,5.494445,5.496018,119.496086,5.5046916,-7.9279375,-6.0117188,-9.7612505,22.321185641763407,115.01678769088872,-23.499314673716803
3701,429685128350863872,4.237619794428828,61.53317034002728,,4.883437,5.958479,206.92334,5.5047097,-6.429359,-3.4647405,-1.9851295,98.36035326295841,7.288066600073685,-181.90490270461243
3702,4347852022889882624,240.1983981731382,-8.411419811433424,,5.4145427,5.5331683,141.22339,5.5047736,-15.544413,-13.846578,-20.726486,-69.43277755337478,-121.22860488275865,20.658185847156652
3703,5269915839879464576,126.81957151364408,-70.09328028163728,,5.512705,5.4896216,88.06843,5.504934,-18.63004,45.722897,18.038095,-17.97076469887393,24.00491752522083,82.80618282115142
3704,5688438928035529984,142.59324801131052,-15.577645551563029,,4.762188,6.1048746,67.14481,5.5050488,-93.33455,-65.75584,19.35036,-51.376842823347445,39.29015684708525,18.03133678828594
3705,4263517110245583360,290.59001877054885,-0.2524479396717962,,4.805353,6.059995,105.773705,5.505726,52.897144,-19.011879,-16.29389,37.19798493753335,-99.01600572844589,0.46604248566128886
3706,4163303119341611008,263.6931482421086,-11.241984485948503,,5.4470854,5.520054,113.528496,5.505731,3.7367108,3.142991,0.0,-12.232170152893325,-110.67626450856896,22.132733491414058
3707,5970209806517021184,254.4592520376844,-39.11570896036202,,4.3578396,6.838482,337.57193,5.5057387,-0.37544343,3.547605,12.142196,-70.17270892064742,-252.33759965882876,212.97026704468314
3708,2300884800185315712,342.8924570934828,85.04639114466316,1.177512,4.153253,7.606027,306.39487,5.5057845,26.579514,4.1433244,-15.657799,25.28632118906815,-7.7827322519590885,-305.2504666691511
3709,271495572960091648,65.04796937551752,50.9209073261392,,5.467027,5.489922,448.68503,5.5060334,0.044147793,-6.1655755,64.95818,119.32194831486298,256.4470764108295,-348.3036402290166
3710,6207682091665491968,230.53636608229232,-32.1896874140638,,4.1959763,7.3461523,227.52048,5.5060806,-41.449215,-12.252884,-5.0554304,-122.38132271092978,-148.6525491987782,121.20561161785575
3711,1631010158460327168,258.13590973328985,62.87454322945575,,5.320698,5.6050653,43.715347,5.5063004,16.410103,46.88334,0.0,-4.097753417826465,-19.505814186230154,-38.907109802571604
3712,1592338513445876608,224.0967635077348,49.62744567978032,,5.0900726,5.765129,25.137383,5.5065575,111.03891,-225.9564,-15.514576,-11.693794662840375,-11.330794589191228,-19.150882080195935
